sex,age,race,juv_fel_count,juv_misd_count,priors_count,c_charge_degree,c_charge_desc,two_year_recid
Male,57,African-American,0,0,27,M,arrest case no charge,1
Female,27,African-American,0,0,0,M,Battery,1
Male,66,Caucasian,0,0,1,M,arrest case no charge,1
Female,25,African-American,0,0,4,M,arrest case no charge,0
Male,21,Caucasian,0,0,0,F,arrest case no charge,1
Male,45,Caucasian,0,0,1,F,Possession of Cocaine,1
Male,38,African-American,0,0,6,F,Aggravated Assault,0
Male,37,African-American,2,3,24,F,Burglary With Assault/battery,1
Male,44,Caucasian,0,0,13,F,Crimin Mischief Damage $1000+,0
Male,64,African-American,0,0,0,F,Grand Theft in the 3rd Degree,1
Male,30,African-American,0,0,1,F,Deliver Cocaine,0
Male,61,African-American,0,0,1,M,arrest case no charge,1
Male,33,Caucasian,0,0,0,F,Driving While License Revoked,1
Female,49,Caucasian,0,0,8,F,arrest case no charge,1
Male,23,African-American,0,0,0,F,Tampering With Physical Evidence,1
Male,33,African-American,0,0,14,F,Resist Officer w/Violence,1
Female,30,Caucasian,0,0,2,F,Burglary Unoccupied Dwelling,0
Male,26,Hispanic,0,0,7,M,Battery,1
Male,35,Other,0,0,3,M,Battery,0
Male,27,African-American,0,0,2,M,Possess Cannabis/20 Grams Or Less,1
Male,38,Caucasian,0,0,1,M,Battery,1
Male,48,African-American,0,0,14,F,arrest case no charge,0
Male,26,Caucasian,0,0,0,M,Battery,1
Male,24,African-American,0,1,4,F,Possession of Cocaine,0
Female,28,African-American,0,0,2,F,Possession Of Alprazolam,0
Female,44,Caucasian,0,0,4,F,Possession of Cocaine,0
Female,34,Caucasian,0,0,1,F,arrest case no charge,0
Male,20,Caucasian,0,1,1,F,Burglary Conveyance Unoccup,0
Male,63,Other,0,0,23,F,Felony Petit Theft,0
Female,36,African-American,0,0,0,M,DUI Level 0.15 Or Minor In Veh,1
Male,58,Caucasian,0,0,1,F,arrest case no charge,1
Male,25,African-American,0,0,7,F,arrest case no charge,0
Male,46,Caucasian,0,0,5,M,arrest case no charge,1
Female,35,Caucasian,0,0,4,F,Felony Battery w/Prior Convict,1
Male,23,African-American,0,0,3,F,Burglary Unoccupied Dwelling,1
Male,40,Caucasian,0,0,1,F,Attempted Robbery  No Weapon,1
Male,31,Hispanic,0,0,3,F,Tamper With Witness/Victim/CI,1
Male,23,African-American,0,0,3,M,Viol Prot Injunc Repeat Viol,0
Male,27,Caucasian,0,0,0,M,Fail Register Vehicle,0
Female,26,African-American,0,0,3,F,Burglary With Assault/battery,1
Male,49,African-American,0,0,1,F,Felony Battery (Dom Strang),1
Female,47,Hispanic,0,0,0,M,Battery,1
Female,45,Native American,0,0,1,M,arrest case no charge,1
Male,34,African-American,0,0,7,F,Possession of Cannabis,0
Male,45,Hispanic,0,0,1,M,Viol Prot Injunc Repeat Viol,1
Male,27,African-American,0,0,10,F,arrest case no charge,1
Female,52,Caucasian,0,0,0,M,Battery,1
Male,26,African-American,0,0,0,M,Operating W/O Valid License,0
Male,25,African-American,0,0,9,F,Driving While License Revoked,1
Male,51,African-American,0,0,1,F,arrest case no charge,1
Male,39,African-American,0,0,1,F,arrest case no charge,1
Male,46,Caucasian,0,0,0,F,Stalking (Aggravated),1
Male,28,Caucasian,0,0,6,F,Grand Theft in the 3rd Degree,1
Male,57,African-American,0,0,0,F,Felony Battery (Dom Strang),1
Male,34,African-American,0,0,27,F,Felony Petit Theft,0
Male,27,African-American,0,0,3,F,arrest case no charge,1
Male,25,African-American,0,0,7,M,Viol Injunct Domestic Violence,0
Male,31,Caucasian,0,0,1,F,Grand Theft in the 3rd Degree,0
Male,37,African-American,0,0,8,F,Burglary Unoccupied Dwelling,1
Male,51,African-American,0,0,0,F,Possession of Cocaine,0
Male,51,Hispanic,0,0,3,M,Disorderly Conduct,1
Male,28,African-American,0,1,8,F,Resist Officer w/Violence,1
Male,56,Caucasian,0,0,4,F,Possession of Cocaine,1
Male,45,African-American,0,0,15,F,Att Burgl Unoccupied Dwel,0
Male,26,Caucasian,0,0,7,F,Burglary Dwelling Occupied,0
Male,33,Caucasian,0,0,7,F,Felony Battery (Dom Strang),0
Male,23,Caucasian,0,0,0,M,Battery,1
Male,31,Other,0,0,0,M,Battery,1
Male,19,Hispanic,1,0,1,F,arrest case no charge,1
Male,30,Caucasian,0,0,1,M,Driving Under The Influence,0
Female,48,Hispanic,0,0,9,F,arrest case no charge,1
Male,66,Caucasian,0,0,1,F,arrest case no charge,1
Male,59,African-American,0,0,4,M,Battery,1
Male,25,African-American,0,0,5,F,arrest case no charge,1
Male,22,African-American,0,0,0,F,Grand Theft in the 3rd Degree,1
Male,49,African-American,0,0,1,M,Battery,1
Male,29,Caucasian,0,0,2,F,Grand Theft in the 3rd Degree,1
Female,44,Caucasian,0,0,11,F,Felony Battery w/Prior Convict,0
Male,24,African-American,0,0,2,F,Burglary Unoccupied Dwelling,1
Male,27,African-American,0,0,0,F,Aggravated Assault W/Dead Weap,0
Female,34,African-American,0,0,5,F,Resist Officer w/Violence,0
Male,24,Caucasian,0,0,0,F,Possession Of Alprazolam,1
Female,35,Caucasian,0,1,3,F,Aggrav Battery w/Deadly Weapon,1
Male,65,Caucasian,0,0,4,M,Battery,1
Male,29,African-American,0,2,7,F,Grand Theft in the 3rd Degree,0
Male,30,African-American,1,0,5,F,Aggravated Assault W/dead Weap,0
Male,23,African-American,0,1,1,F,Possession Burglary Tools,1
Male,32,Caucasian,0,0,2,F,Possession Of Heroin,0
Male,22,Caucasian,0,0,2,F,arrest case no charge,1
Male,21,African-American,0,0,0,M,Battery,1
Female,43,Caucasian,0,0,0,M,Battery,1
Male,29,African-American,0,0,0,F,Poss of Cocaine W/I/D/S 1000FT Park,1
Male,43,African-American,0,0,1,F,Robbery Sudd Snatch No Weapon,1
Male,25,African-American,0,0,1,F,arrest case no charge,1
Male,47,Caucasian,0,0,0,M,Battery,1
Female,21,African-American,0,0,0,F,Grand Theft in the 3rd Degree,1
Female,25,African-American,0,0,1,M,Disorderly Conduct,1
Male,54,Caucasian,0,0,0,M,Battery,1
Female,28,African-American,0,0,2,M,Battery,1
Female,53,Caucasian,0,0,4,F,Poss Contr Subst W/o Prescript,0
Male,37,Hispanic,0,0,3,F,arrest case no charge,0
Male,34,African-American,0,0,2,F,Felony Driving While Lic Suspd,1
Female,60,Caucasian,0,0,0,F,Battery on Law Enforc Officer,0
Male,22,African-American,0,0,0,F,Grand Theft in the 3rd Degree,1
Male,51,African-American,0,0,3,F,Felony Driving While Lic Suspd,1
Male,29,African-American,0,0,0,F,Felony Battery (Dom Strang),0
Female,28,African-American,0,0,1,F,Uttering a Forged Instrument,1
Male,36,Caucasian,0,0,6,F,Grand Theft in the 3rd Degree,1
Male,28,African-American,0,0,5,M,arrest case no charge,1
Male,33,Caucasian,0,0,0,F,Grand Theft (Motor Vehicle),0
Male,43,Caucasian,0,0,4,M,Battery,1
Male,45,Hispanic,0,0,1,M,Battery,1
Male,32,Caucasian,0,0,5,F,Resist Officer w/Violence,0
Female,35,African-American,0,0,0,F,Possession of Cocaine,0
Male,23,African-American,0,0,1,F,Felony Batt(Great Bodily Harm),0
Male,41,Hispanic,0,0,1,M,Aggrav Battery w/Deadly Weapon,1
Male,25,Other,20,0,24,F,arrest case no charge,0
Male,35,Hispanic,0,1,12,F,Aggravated Assault W/Dead Weap,1
Male,25,African-American,0,0,4,F,Crim Use of Personal ID Info,0
Male,69,Caucasian,0,0,6,F,Driving While License Revoked,0
Male,24,Asian,0,0,0,M,Battery,1
Male,21,African-American,0,0,3,F,Grand Theft (Motor Vehicle),0
Male,28,Hispanic,0,0,0,F,Grand Theft in the 3rd Degree,1
Male,47,African-American,0,0,23,F,Poss Wep Conv Felon,0
Male,59,Other,0,0,1,F,Possession Of Alprazolam,1
Male,29,African-American,0,1,13,F,Poss Pyrrolidinovalerophenone,0
Male,36,Caucasian,0,0,14,F,Grand Theft in the 3rd Degree,0
Male,26,African-American,0,0,9,F,Drivg While Lic Suspd/Revk/Can,0
Male,31,Other,0,0,0,M,Viol Prot Injunc Repeat Viol,1
Male,32,African-American,0,0,8,F,Grand Theft in the 3rd Degree,0
Female,27,Caucasian,0,0,3,F,arrest case no charge,0
Male,28,Caucasian,0,0,0,F,"Deliver 3,4 Methylenediox",1
Male,48,Caucasian,0,0,1,M,Driving Under The Influence,0
Male,23,Caucasian,0,0,2,F,arrest case no charge,0
Male,44,Caucasian,0,0,0,M,Battery,1
Male,42,African-American,0,0,7,M,Driving License Suspended,1
Male,39,African-American,0,0,5,F,Grand Theft in the 3rd Degree,1
Female,46,Hispanic,0,0,2,F,Grand Theft in the 3rd Degree,1
Male,55,Caucasian,0,0,0,M,Battery,1
Male,27,African-American,0,0,5,F,Burglary Dwelling Occupied,0
Female,31,Caucasian,0,0,0,M,Battery,1
Male,36,African-American,0,0,2,F,Driving While License Revoked,1
Male,21,African-American,0,0,3,F,arrest case no charge,0
Male,39,Caucasian,0,0,2,M,Driving Under The Influence,1
Female,26,African-American,0,0,0,M,Battery,1
Male,28,African-American,0,0,8,F,Grand Theft in the 3rd Degree,0
Female,22,Other,0,0,0,F,Aggrav Battery w/Deadly Weapon,1
Male,37,Caucasian,0,0,3,M,Driving Under The Influence,1
Male,23,African-American,0,0,2,M,Criminal Mischief,0
Female,49,African-American,0,0,14,M,Battery,0
Male,41,Caucasian,0,0,9,M,Battery,1
Male,25,African-American,0,0,1,M,Battery,1
Female,57,Caucasian,0,0,3,F,Battery on Law Enforc Officer,1
Male,58,Caucasian,0,0,0,M,Battery,1
Male,44,African-American,2,0,19,M,Battery,0
Male,28,African-American,0,0,1,F,Aggrav Stalking After Injunctn,1
Female,39,African-American,0,0,0,F,Grand Theft in the 3rd Degree,0
Male,54,Caucasian,0,0,0,F,Agg Battery Grt/Bod/Harm,1
Male,21,Hispanic,0,0,0,M,Battery,0
Male,43,Caucasian,0,0,0,M,DUI Property Damage/Injury,1
Male,31,African-American,0,0,5,M,Battery,1
Male,30,African-American,4,1,11,F,Pos Cannabis W/Intent Sel/Del,1
Male,27,Caucasian,0,1,4,M,Battery,0
Male,28,African-American,0,0,0,M,Battery,0
Male,24,African-American,0,0,0,M,Possess Drug Paraphernalia,1
Male,43,Caucasian,0,0,0,M,Susp Drivers Lic 1st Offense,1
Male,44,African-American,0,0,10,M,Driving Under The Influence,0
Male,51,African-American,0,0,4,F,arrest case no charge,1
Male,23,African-American,0,0,0,F,Pos Cannabis W/Intent Sel/Del,1
Male,26,African-American,2,1,8,M,Prowling/Loitering,0
Male,36,Caucasian,0,0,5,M,Viol Injunct Domestic Violence,0
Male,27,Caucasian,0,0,1,F,arrest case no charge,1
Male,66,Caucasian,0,0,0,M,Battery,1
Female,36,Caucasian,0,0,3,F,Possession of Cocaine,1
Male,53,Hispanic,0,0,9,F,Felony Petit Theft,0
Male,23,Caucasian,0,0,1,F,Possession of Cocaine,0
Female,22,African-American,0,0,0,M,Battery,0
Male,25,Hispanic,0,0,1,F,Crimin Mischief Damage $1000+,1
Male,56,African-American,0,0,4,F,Possession of Cocaine,1
Male,29,Native American,0,0,1,F,Possession of Cocaine,1
Male,29,Caucasian,0,0,10,F,arrest case no charge,0
Male,51,Asian,0,0,1,F,arrest case no charge,0
Female,58,African-American,0,0,3,M,arrest case no charge,1
Male,24,Caucasian,0,1,3,M,DUI Level 0.15 Or Minor In Veh,1
Male,22,African-American,0,0,0,F,Burglary Dwelling Armed,0
Male,39,Caucasian,0,0,0,M,Battery,1
Male,20,Hispanic,0,0,3,F,Pos Cannabis W/Intent Sel/Del,0
Male,46,Caucasian,0,0,10,F,arrest case no charge,0
Male,38,Caucasian,0,0,1,F,Possession Of Methamphetamine,0
Male,23,Caucasian,0,0,0,M,Viol Pretrial Release Dom Viol,0
Male,39,Other,0,0,6,F,Burglary Unoccupied Dwelling,1
Male,25,African-American,0,0,0,F,Felony Battery,1
Male,31,African-American,0,0,19,F,Driving While License Revoked,0
Female,25,African-American,0,0,1,M,Battery,0
Male,26,African-American,0,0,6,F,arrest case no charge,1
Male,25,African-American,0,0,2,F,Possession Burglary Tools,1
Male,37,Caucasian,0,0,11,F,Driving While License Revoked,0
Male,36,African-American,0,0,0,F,Grand Theft in the 3rd Degree,1
Male,26,African-American,0,0,1,F,Pos Cannabis W/Intent Sel/Del,0
Male,21,Other,0,2,3,F,Grand Theft in the 3rd Degree,0
Male,35,African-American,0,0,7,F,Resist Officer w/Violence,0
Male,22,African-American,0,0,2,F,Crim Use of Personal ID Info,0
Male,25,Caucasian,0,0,0,F,Aggravated Battery,1
Male,36,Hispanic,0,0,0,M,Operating W/O Valid License,1
Male,24,African-American,0,0,2,M,Susp Drivers Lic 1st Offense,0
Male,21,African-American,0,0,0,F,Grand Theft in the 3rd Degree,0
Male,32,Caucasian,2,0,15,F,Possession of Cocaine,0
Male,33,African-American,0,0,2,M,Battery,0
Male,33,African-American,0,0,10,F,Possession of Cocaine,0
Female,23,African-American,0,0,4,M,arrest case no charge,0
Male,29,Caucasian,0,0,0,M,DUI Property Damage/Injury,1
Male,32,Caucasian,0,0,5,F,arrest case no charge,0
Male,33,African-American,0,0,14,F,Driving While License Revoked,0
Male,37,African-American,0,1,13,F,Agg Battery Grt/Bod/Harm,0
Male,27,African-American,0,0,9,F,Burglary Unoccupied Dwelling,0
Male,27,African-American,0,0,0,M,Battery,1
Female,52,African-American,0,0,21,F,Felony Petit Theft,0
Male,21,Hispanic,0,0,1,M,Possess Cannabis/20 Grams Or Less,0
Male,58,African-American,0,0,1,F,arrest case no charge,1
Male,27,African-American,0,0,4,F,"Deliver 3,4 Methylenediox",1
Male,28,Caucasian,0,0,1,F,Possession of Cocaine,0
Female,31,Caucasian,0,0,0,M,Battery,1
Male,30,Caucasian,0,1,11,F,arrest case no charge,0
Male,24,African-American,0,0,3,M,arrest case no charge,1
Male,26,African-American,0,0,6,F,Possession of Cannabis,0
Male,43,Caucasian,0,0,0,M,DUI- Enhanced,1
Male,31,African-American,0,0,2,F,Crim Use of Personal ID Info,0
Male,22,African-American,0,0,3,F,Felony Batt(Great Bodily Harm),0
Male,23,African-American,0,0,0,F,Burglary Unoccupied Dwelling,1
Male,42,Caucasian,0,0,0,M,Driving Under The Influence,1
Male,34,African-American,0,0,0,M,arrest case no charge,0
Male,30,African-American,0,3,18,M,Battery,1
Male,29,African-American,0,0,1,F,False Imprisonment,1
Male,38,Caucasian,0,0,2,F,arrest case no charge,0
Male,26,Caucasian,0,0,3,M,Petit Theft $100- $300,1
Female,25,Hispanic,0,0,4,F,arrest case no charge,0
Male,51,African-American,0,0,5,M,Driving License Suspended,1
Male,36,Other,0,0,0,M,Battery,1
Male,62,Hispanic,0,0,0,M,Battery,1
Male,23,African-American,0,0,0,F,Grand Theft (Motor Vehicle),0
Male,34,African-American,0,0,7,F,arrest case no charge,0
Male,22,Caucasian,0,0,0,F,"Poss3,4 Methylenedioxymethcath",1
Male,29,African-American,0,0,10,M,Assault,0
Male,40,African-American,0,0,0,F,Stalking (Aggravated),1
Male,36,African-American,0,0,2,F,Possession of Cocaine,1
Male,26,African-American,0,0,8,F,arrest case no charge,0
Male,25,African-American,0,0,1,F,Burglary Structure Unoccup,0
Male,69,Caucasian,0,0,0,M,DUI Level 0.15 Or Minor In Veh,1
Male,27,African-American,0,1,1,F,Grand Theft in the 3rd Degree,1
Male,20,Caucasian,0,0,0,F,Grand Theft in the 3rd Degree,0
Female,24,African-American,0,0,6,M,arrest case no charge,1
Male,42,Caucasian,0,0,0,F,Aggravated Assault w/Firearm,1
Male,25,Caucasian,0,0,1,F,Burglary Conveyance Unoccup,1
Male,46,Caucasian,0,0,1,F,arrest case no charge,0
Male,25,African-American,0,0,0,F,Uttering a Forged Instrument,1
Male,22,African-American,0,0,0,F,Pos Cannabis W/Intent Sel/Del,1
Male,21,Caucasian,0,0,0,F,Burglary Structure Unoccup,1
Male,30,African-American,0,0,1,M,Battery,1
Male,46,Caucasian,0,0,9,M,Battery,1
Male,26,African-American,0,0,2,M,Battery,1
Male,33,African-American,0,0,0,F,arrest case no charge,0
Male,40,African-American,0,0,1,M,Battery,1
Male,34,Caucasian,0,0,0,F,Possession of Cocaine,1
Male,22,Caucasian,0,0,1,F,Grand Theft in the 3rd Degree,0
Male,28,Hispanic,0,0,3,M,arrest case no charge,1
Male,31,African-American,0,0,4,M,Assault,0
Male,59,Caucasian,0,0,3,M,Driving Under The Influence,0
Male,50,African-American,0,0,0,F,Aggravated Battery / Pregnant,1
Female,21,Other,0,0,2,F,Neglect Child / No Bodily Harm,0
Male,57,African-American,0,0,8,F,Felony Battery w/Prior Convict,0
Male,31,African-American,0,0,5,M,Assault,1
Female,51,African-American,0,0,1,M,Battery,1
Male,44,African-American,0,0,9,F,Grand Theft in the 3rd Degree,1
Male,48,African-American,0,0,5,F,Possession of Cocaine,0
Female,25,Caucasian,0,0,0,F,Grand Theft in the 3rd Degree,1
Male,51,African-American,0,0,5,M,arrest case no charge,1
Male,50,Caucasian,0,0,0,F,arrest case no charge,0
Male,57,Caucasian,0,0,2,F,arrest case no charge,1
Male,55,Caucasian,0,0,0,M,DUI - Enhanced,1
Male,59,African-American,0,0,4,F,Possession of Cocaine,0
Female,42,African-American,0,0,0,F,Aggrav Battery w/Deadly Weapon,1
Male,20,Hispanic,2,0,2,F,arrest case no charge,0
Male,58,African-American,0,0,16,F,Felony Petit Theft,1
Male,21,Other,0,0,0,F,Purchase Cannabis,1
Male,32,African-American,0,0,21,F,Felony Petit Theft,0
Female,24,Hispanic,0,0,0,M,Battery,1
Male,42,African-American,0,0,1,F,Tampering With Physical Evidence,1
Male,29,African-American,0,0,8,F,arrest case no charge,0
Male,21,African-American,0,0,1,F,arrest case no charge,1
Male,31,Caucasian,0,0,1,M,DUI Level 0.15 Or Minor In Veh,0
Male,56,Hispanic,0,0,8,M,Driving License Suspended,1
Male,58,Caucasian,0,0,0,M,DUI Blood Alcohol Above 0.20,1
Male,22,African-American,0,0,1,F,Pos Cannabis W/Intent Sel/Del,0
Male,46,Caucasian,0,0,1,M,Battery,0
Male,50,Caucasian,0,0,0,M,Battery,0
Male,46,African-American,0,0,2,F,Grand Theft in the 3rd Degree,1
Female,44,African-American,0,1,11,F,Possession of Cocaine,0
Male,35,African-American,0,0,4,M,Battery,1
Male,30,African-American,0,1,14,F,Grand Theft (Motor Vehicle),0
Male,42,African-American,0,0,2,F,Possession of Cocaine,1
Male,46,African-American,0,0,5,F,Grand Theft (Motor Vehicle),0
Male,42,African-American,0,0,0,F,Poss Pyrrolidinovalerophenone,0
Male,37,African-American,0,0,12,F,arrest case no charge,1
Male,29,Caucasian,0,0,7,F,Aggravated Battery / Pregnant,0
Male,32,African-American,0,0,8,F,Aggravated Battery / Pregnant,1
Male,31,Other,0,0,5,F,Grand Theft in the 3rd Degree,1
Female,33,African-American,0,0,1,M,Battery,1
Male,25,Caucasian,0,0,4,F,Robbery / No Weapon,1
Female,33,African-American,0,0,0,M,Battery,1
Male,21,Hispanic,0,0,1,F,arrest case no charge,1
Female,64,Caucasian,0,0,7,M,Expired DL More Than 6 Months,1
Male,35,Caucasian,0,0,1,F,Possession of Cocaine,0
Male,56,African-American,0,0,1,F,arrest case no charge,1
Male,38,Caucasian,0,0,0,M,Battery,0
Female,40,African-American,0,0,4,M,arrest case no charge,1
Male,34,African-American,0,0,3,F,arrest case no charge,1
Male,28,African-American,0,0,4,F,Grand Theft in the 3rd Degree,1
Male,51,African-American,0,0,0,M,Battery,1
Male,35,African-American,0,0,2,M,Battery,1
Male,61,African-American,0,0,5,F,Possession of Cocaine,1
Male,25,African-American,0,0,0,F,Poss Unlaw Issue Driver Licenc,1
Male,25,African-American,0,0,4,F,Felony Driving While Lic Suspd,0
Male,26,African-American,0,0,0,M,Petit Theft,1
Male,42,Caucasian,0,0,1,M,Battery,1
Female,25,African-American,0,0,1,F,Grand Theft in the 3rd Degree,1
Male,26,African-American,0,1,13,M,Driving License Suspended,0
Male,35,Caucasian,0,0,1,F,Possession of Cocaine,1
Female,41,African-American,0,0,4,F,arrest case no charge,0
Male,34,Caucasian,0,0,0,F,Lewd/Lasc Battery Pers 12+/<16,1
Male,46,Caucasian,0,0,5,M,arrest case no charge,1
Female,33,Caucasian,0,0,1,M,Battery,1
Male,30,African-American,0,0,3,F,Carrying Concealed Firearm,1
Female,50,African-American,0,0,7,M,Battery,1
Male,21,African-American,0,0,0,F,Burglary Dwelling Armed,1
Male,31,Hispanic,0,0,16,F,Burglary Conveyance Unoccup,0
Male,31,African-American,0,0,2,F,"Poss 3,4 MDMA (Ecstasy)",0
Female,23,African-American,0,0,0,M,Battery,1
Male,25,African-American,0,0,1,F,Burglary Conveyance Unoccup,1
Female,24,Caucasian,0,0,1,F,arrest case no charge,1
Male,31,African-American,0,0,13,M,Possess Cannabis/20 Grams Or Less,0
Male,60,African-American,0,0,0,F,Grand Theft in the 3rd Degree,1
Male,30,African-American,0,0,2,F,arrest case no charge,1
Female,32,Other,0,0,0,M,Battery,1
Male,46,Caucasian,0,0,0,M,Driving Under The Influence,1
Male,21,Caucasian,0,0,0,M,Battery,0
Male,28,African-American,4,0,6,M,Disorderly Intoxication,1
Male,35,African-American,0,0,0,F,Pos Cannabis W/Intent Sel/Del,1
Male,41,Asian,0,0,2,F,Felony Petit Theft,0
Female,40,African-American,0,0,7,M,Prostitution/Lewd Act Assignation,1
Male,23,African-American,0,0,1,F,Grand Theft in the 3rd Degree,0
Male,23,African-American,0,0,3,F,Grand Theft in the 3rd Degree,0
Male,28,African-American,0,0,2,M,Resist/Obstruct W/O Violence,1
Male,21,Hispanic,0,0,0,F,Possession Of Alprazolam,0
Male,46,Caucasian,0,0,2,M,Possess Cannabis/20 Grams Or Less,1
Male,56,African-American,0,0,1,F,arrest case no charge,1
Male,41,African-American,0,0,19,F,Driving While License Revoked,1
Male,40,Hispanic,0,0,8,F,Possession of Cocaine,0
Male,30,Hispanic,0,0,5,F,arrest case no charge,0
Male,24,African-American,0,0,1,M,Battery,0
Male,25,African-American,0,0,7,F,Att Burgl Unoccupied Dwel,1
Female,33,Caucasian,0,0,0,M,Battery,1
Male,48,Caucasian,0,0,2,M,arrest case no charge,1
Male,33,African-American,0,0,11,F,"Poss 3,4 MDMA (Ecstasy)",0
Male,25,Hispanic,0,0,0,F,Poss Contr Subst W/o Prescript,1
Male,25,Caucasian,0,0,6,F,False Ownership Info/Pawn Item,0
Male,58,African-American,0,0,38,F,Felony Petit Theft,0
Male,37,Hispanic,0,0,0,F,Tamper With Witness/Victim/CI,0
Female,43,Caucasian,0,0,7,F,Agg Battery Grt/Bod/Harm,1
Male,32,Caucasian,0,0,0,F,Driving While License Revoked,1
Male,33,Other,0,0,3,F,arrest case no charge,1
Male,39,Other,0,1,4,F,Poss Pyrrolidinovalerophenone,0
Male,49,Caucasian,0,0,4,F,Aggravated Assault w/Firearm,1
Male,26,African-American,0,0,1,F,Grand Theft (Motor Vehicle),1
Male,42,Caucasian,0,0,0,F,Aggrav Battery w/Deadly Weapon,1
Male,22,African-American,0,0,1,F,Burglary Unoccupied Dwelling,0
Male,36,Hispanic,0,0,0,F,Grand Theft in the 3rd Degree,1
Male,29,Caucasian,0,0,7,M,Battery,0
Male,39,Caucasian,0,0,0,M,Battery,1
Male,27,African-American,0,2,13,F,arrest case no charge,0
Male,38,Caucasian,0,0,2,F,Possession of Cocaine,0
Male,20,Caucasian,0,0,0,F,Burglary Conveyance Unoccup,0
Male,25,African-American,2,0,4,F,arrest case no charge,0
Male,53,Caucasian,0,0,0,M,Battery,1
Female,27,African-American,0,0,0,M,Battery,0
Male,21,Other,0,0,0,F,Burglary Structure Unoccup,0
Male,50,Caucasian,0,0,1,M,Viol Injunct Domestic Violence,0
Male,41,African-American,0,0,4,F,Child Abuse,1
Male,34,African-American,0,0,4,F,Aggravated Battery / Pregnant,0
Male,22,Caucasian,0,0,5,F,Possession Of Alprazolam,0
Male,22,Caucasian,0,0,0,F,Grand Theft (Motor Vehicle),0
Male,25,African-American,0,0,2,F,Pos Cannabis W/Intent Sel/Del,1
Male,42,African-American,0,0,1,F,Felony Driving While Lic Suspd,0
Female,27,Caucasian,0,0,2,F,Possession Of Heroin,1
Male,51,Other,0,0,2,F,arrest case no charge,1
Male,33,African-American,0,0,23,F,arrest case no charge,0
Male,24,African-American,0,0,0,F,Possession of Cannabis,1
Male,37,African-American,0,0,4,F,arrest case no charge,1
Male,37,Caucasian,0,0,0,M,Possess Cannabis/20 Grams Or Less,1
Female,27,Other,0,0,0,M,Battery,1
Male,21,Other,0,0,0,F,Robbery / No Weapon,1
Male,35,African-American,0,0,1,F,Aggravated Battery / Pregnant,0
Female,24,Caucasian,0,0,0,F,Possession of Cocaine,1
Male,21,Other,1,0,1,F,arrest case no charge,1
Male,49,Caucasian,0,0,2,M,DUI Property Damage/Injury,1
Male,38,African-American,0,0,9,F,arrest case no charge,1
Male,61,Other,0,0,0,M,DUI Level 0.15 Or Minor In Veh,1
Female,30,African-American,0,0,0,M,Battery,1
Male,22,African-American,0,0,3,F,Battery on a Person Over 65,1
Female,30,Hispanic,0,0,3,M,Battery,0
Male,52,Caucasian,0,0,0,M,Driving Under The Influence,1
Male,26,Caucasian,0,0,0,F,Aggravated Battery / Pregnant,1
Male,26,Other,0,0,0,M,Battery,1
Male,45,Caucasian,0,0,9,F,Felony Petit Theft,0
Male,20,African-American,0,0,0,F,arrest case no charge,0
Male,29,African-American,0,0,4,F,arrest case no charge,1
Male,43,Caucasian,0,0,1,F,arrest case no charge,0
Female,46,African-American,0,0,4,F,arrest case no charge,1
Female,46,African-American,0,0,0,F,Felony Driving While Lic Suspd,1
Male,39,Caucasian,0,0,8,F,Aggravated Assault W/dead Weap,1
Male,29,African-American,0,0,12,F,Possession of Cocaine,0
Male,41,Caucasian,0,0,0,M,DUI Property Damage/Injury,1
Male,29,African-American,0,0,11,F,arrest case no charge,0
Male,23,African-American,1,0,2,F,Deliver Cocaine,1
Female,46,African-American,0,0,1,F,arrest case no charge,0
Male,30,Caucasian,0,0,0,M,DUI Property Damage/Injury,1
Male,34,Caucasian,0,0,1,F,arrest case no charge,1
Male,70,Caucasian,0,0,11,F,Possession of Cocaine,0
Male,52,Caucasian,0,0,2,F,arrest case no charge,1
Male,51,African-American,0,0,4,M,Susp Drivers Lic 1st Offense,1
Female,45,Native American,0,0,15,F,Driving While License Revoked,0
Male,55,African-American,0,0,21,F,Felony Battery w/Prior Convict,0
Female,49,Caucasian,0,0,1,F,arrest case no charge,1
Female,26,African-American,0,0,9,M,Driving License Suspended,0
Female,47,Caucasian,0,0,0,F,Battery on Law Enforc Officer,1
Male,27,African-American,0,0,0,M,Battery,1
Male,25,Caucasian,0,2,5,M,DUI Level 0.15 Or Minor In Veh,0
Male,21,African-American,0,1,1,F,arrest case no charge,0
Male,37,African-American,0,0,26,F,Driving While License Revoked,0
Male,21,African-American,0,0,1,F,Possession of Cocaine,0
Male,21,African-American,0,0,0,F,Burglary Structure Unoccup,1
Male,25,African-American,0,0,4,F,Possession of Cocaine,0
Male,30,Caucasian,0,0,3,F,Crimin Mischief Damage $1000+,0
Male,70,Caucasian,0,0,0,M,DUI Property Damage/Injury,1
Male,37,Caucasian,0,0,11,F,Deliver Cannabis,0
Male,46,African-American,0,0,5,F,Agg Fleeing and Eluding,0
Male,40,Other,0,0,4,M,Battery,0
Male,20,African-American,1,0,1,F,Grand Theft in the 3rd Degree,0
Male,43,African-American,0,0,18,F,arrest case no charge,0
Male,38,African-American,0,0,15,F,Aggravated Assault w/Firearm,1
Male,29,African-American,0,0,0,F,Crim Use of Personal ID Info,1
Male,37,African-American,0,0,8,M,Opert With Susp DL 2nd Offens,0
